run_id,population,in_primary_statistics,configuration_id,canonical_configuration_id,label,canonical_config_label,provider,model,variant,identity_evidence,operator_reported_identity,condition,replicate,status,usable,analysis_included,exclusion_reason,prompt_hash,source_sha256,corpus_sha256,generation_date,interface_settings,deviation_ids,intake_verdict,end_marker_ok,size_floor_ok,file_prompt_ok,tokens_total,lexical_tokens,canonical_coverage,broader_coverage,unresolved_rate,exact_dictionary_matches,morphologically_valid_forms,unresolved_forms,ortho_outside_inventory,ortho_cyrillic,ortho_polish_specific,ortho_other_latin,ortho_other_script,ortho_unexpected_nonletters
2026-09-08__openai__gpt-5.6-luna__thinkon__direct__r03,primary,true,openai__gpt-5.6-luna__thinkon,,GPT-5.6 Luna — thinking ON,,openai,gpt-5.6-luna,thinkon,,,direct,r03,usable,true,true,,99353c4ed7066521260dd69cdb1a68b2e0828a074f09c0747f3f8c2bcc9f45a4,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,,2026-09-08,not exposed,,usable,true,true,true,1971,1521,0.786325,0.880999,0.213675,1196,0,325,70,0,34,36,0,0
2026-09-08__openai__gpt-5.6-luna__thinkon__primed__r03,primary,true,openai__gpt-5.6-luna__thinkon,,GPT-5.6 Luna — thinking ON,,openai,gpt-5.6-luna,thinkon,,,primed,r03,usable,true,true,,36a2fb5f1bdc51320fa10f159afa12954d6471e26c4739a2ca0d592bf9058d73,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,aaad28e43935a40313585d77a33bfc788d97e8d69b081f9486af74d52ca1a857,2026-09-08,not exposed,,usable,true,true,true,1993,1540,0.814286,0.885065,0.185714,1254,0,286,76,4,34,38,0,0
2026-09-08__openai__gpt-isv-teacher__unknown__direct__r01,primary,true,openai__gpt-isv-teacher__unknown,,GPT Interslavic Teacher (custom GPT),,openai,gpt-isv-teacher,unknown,,,direct,r01,usable,true,true,,c59c59619100020a0662e3b1ffa3c6419aa6db655d73e59cc5c329e0483084fc,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,,2026-09-08,not exposed,,usable,true,true,true,1949,1499,0.75517,0.845897,0.24483,1131,1,367,32,5,10,17,0,0
2026-09-08__openai__gpt-isv-teacher__unknown__primed__r01,primary,true,openai__gpt-isv-teacher__unknown,,GPT Interslavic Teacher (custom GPT),,openai,gpt-isv-teacher,unknown,,,primed,r01,usable,true,true,,00f6f280008b3ad80b7578c0d824b48f4e73a4d70a1d4568eb4c26a80f7deabd,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,aaad28e43935a40313585d77a33bfc788d97e8d69b081f9486af74d52ca1a857,2026-09-08,not exposed,,usable,true,true,true,1981,1531,0.847812,0.911169,0.152188,1297,1,233,25,0,10,14,0,1
2026-09-08__openai__gpt-isv-teacher__unknown__direct__r02,primary,true,openai__gpt-isv-teacher__unknown,,GPT Interslavic Teacher (custom GPT),,openai,gpt-isv-teacher,unknown,,,direct,r02,partial,false,false,intake partial: final non-empty line is not KONIEC/KONEC/KONĖC (markdown-wrapped end marker); evaluated but excluded from statistics per the unchanged gate,c59c59619100020a0662e3b1ffa3c6419aa6db655d73e59cc5c329e0483084fc,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,,2026-09-08,not exposed,,partial,false,true,true,1964,1496,0.733289,0.860963,0.266711,1096,1,399,67,0,35,12,0,20
2026-09-08__openai__gpt-isv-teacher__unknown__primed__r02,primary,true,openai__gpt-isv-teacher__unknown,,GPT Interslavic Teacher (custom GPT),,openai,gpt-isv-teacher,unknown,,,primed,r02,usable,true,true,,00f6f280008b3ad80b7578c0d824b48f4e73a4d70a1d4568eb4c26a80f7deabd,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,aaad28e43935a40313585d77a33bfc788d97e8d69b081f9486af74d52ca1a857,2026-09-08,not exposed,,usable,true,true,true,1965,1517,0.837179,0.896506,0.162821,1269,1,247,72,0,34,38,0,0
2026-09-08__openai__gpt-isv-teacher__unknown__direct__r03,primary,true,openai__gpt-isv-teacher__unknown,,GPT Interslavic Teacher (custom GPT),,openai,gpt-isv-teacher,unknown,,,direct,r03,partial,false,false,intake partial: final non-empty line is not KONIEC/KONEC/KONĖC (markdown-wrapped end marker); evaluated but excluded from statistics per the unchanged gate,c59c59619100020a0662e3b1ffa3c6419aa6db655d73e59cc5c329e0483084fc,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,,2026-09-08,not exposed,,partial,false,true,true,1959,1491,0.777331,0.870557,0.222669,1158,1,332,56,0,12,24,0,20
2026-09-08__openai__gpt-isv-teacher__unknown__primed__r03,primary,true,openai__gpt-isv-teacher__unknown,,GPT Interslavic Teacher (custom GPT),,openai,gpt-isv-teacher,unknown,,,primed,r03,usable,true,true,,00f6f280008b3ad80b7578c0d824b48f4e73a4d70a1d4568eb4c26a80f7deabd,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,aaad28e43935a40313585d77a33bfc788d97e8d69b081f9486af74d52ca1a857,2026-09-08,not exposed,,usable,true,true,true,1975,1526,0.830931,0.887287,0.169069,1266,2,258,21,0,10,11,0,0
2026-09-08__anthropic__claude__sonnet-5__direct__r01,primary,true,anthropic__claude__sonnet-5,,Claude Sonnet 5 — Medium (default),,anthropic,claude,sonnet-5,,,direct,r01,usable,true,true,,d71bc2437525589c3d5bd22f4a1e5bdd10026a72f90a4051bebab8592631512e,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,,2026-09-08,not exposed,,usable,true,true,true,1972,1524,0.749344,0.877297,0.250656,1141,1,382,18,18,0,0,0,0
2026-09-08__anthropic__claude__sonnet-5__primed__r01,primary,true,anthropic__claude__sonnet-5,,Claude Sonnet 5 — Medium (default),,anthropic,claude,sonnet-5,,,primed,r01,usable,true,true,,2f3115026633d670726ffb1b82c62459dc547e2188c7935a7948644013385265,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,aaad28e43935a40313585d77a33bfc788d97e8d69b081f9486af74d52ca1a857,2026-09-08,not exposed,,usable,true,true,true,1982,1533,0.836921,0.908676,0.163079,1283,0,250,2,0,0,2,0,0
2026-09-08__anthropic__claude__sonnet-5__direct__r02,primary,true,anthropic__claude__sonnet-5,,Claude Sonnet 5 — Medium (default),,anthropic,claude,sonnet-5,,,direct,r02,usable,true,true,,d71bc2437525589c3d5bd22f4a1e5bdd10026a72f90a4051bebab8592631512e,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,,2026-09-08,not exposed,,usable,true,true,true,1959,1510,0.724503,0.863576,0.275497,1094,0,416,25,23,0,2,0,0
2026-09-08__anthropic__claude__sonnet-5__primed__r02,primary,true,anthropic__claude__sonnet-5,,Claude Sonnet 5 — Medium (default),,anthropic,claude,sonnet-5,,,primed,r02,usable,true,true,,2f3115026633d670726ffb1b82c62459dc547e2188c7935a7948644013385265,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,aaad28e43935a40313585d77a33bfc788d97e8d69b081f9486af74d52ca1a857,2026-09-08,not exposed,,usable,true,true,true,1972,1520,0.828947,0.897368,0.171053,1260,0,260,2,0,0,2,0,0
2026-09-08__anthropic__claude__sonnet-5__direct__r03,primary,true,anthropic__claude__sonnet-5,,Claude Sonnet 5 — Medium (default),,anthropic,claude,sonnet-5,,,direct,r03,usable,true,true,,d71bc2437525589c3d5bd22f4a1e5bdd10026a72f90a4051bebab8592631512e,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,,2026-09-08,not exposed,,usable,true,true,true,1979,1529,0.763244,0.856769,0.236756,1167,0,362,115,33,38,44,0,0
2026-09-08__anthropic__claude__sonnet-5__primed__r03,primary,true,anthropic__claude__sonnet-5,,Claude Sonnet 5 — Medium (default),,anthropic,claude,sonnet-5,,,primed,r03,usable,true,true,,2f3115026633d670726ffb1b82c62459dc547e2188c7935a7948644013385265,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,aaad28e43935a40313585d77a33bfc788d97e8d69b081f9486af74d52ca1a857,2026-09-08,not exposed,,usable,true,true,true,1984,1534,0.84485,0.904824,0.15515,1296,0,238,8,0,0,8,0,0
2026-09-08__google__gemini-3.1-pro__extthinkon__direct__r01,primary,true,google__gemini-3.1-pro__extthinkon,,Gemini 3.1 Pro — extended thinking ON,,google,gemini-3.1-pro,extthinkon,,,direct,r01,usable,true,true,,7127af1fee812f8f7346b639cde676788c65cba2a208632d4367ea30a49e1abe,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,,2026-09-08,not exposed,,usable,true,true,true,1927,1478,0.792963,0.889039,0.207037,1172,0,306,69,0,35,34,0,0
2026-09-08__google__gemini-3.1-pro__extthinkon__primed__r01,primary,true,google__gemini-3.1-pro__extthinkon,,Gemini 3.1 Pro — extended thinking ON,,google,gemini-3.1-pro,extthinkon,,,primed,r01,missing,false,false,"not collected — pristine prompt file, no reply appended; never fabricated",22c458913357fa4632f56b693a4f1b93b1e6fd5f47b9f4355a8aa26710c856a0,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,aaad28e43935a40313585d77a33bfc788d97e8d69b081f9486af74d52ca1a857,,,,missing,,,,,,,,,,,,,,,,,
2026-09-08__google__gemini-3.1-pro__extthinkon__direct__r02,primary,true,google__gemini-3.1-pro__extthinkon,,Gemini 3.1 Pro — extended thinking ON,,google,gemini-3.1-pro,extthinkon,,,direct,r02,usable,true,true,,7127af1fee812f8f7346b639cde676788c65cba2a208632d4367ea30a49e1abe,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,,2026-09-08,not exposed,,usable,true,true,true,1926,1478,0.803789,0.889039,0.196211,1188,0,290,68,0,34,34,0,0
2026-09-08__google__gemini-3.1-pro__extthinkon__primed__r02,primary,true,google__gemini-3.1-pro__extthinkon,,Gemini 3.1 Pro — extended thinking ON,,google,gemini-3.1-pro,extthinkon,,,primed,r02,missing,false,false,"not collected — pristine prompt file, no reply appended; never fabricated",22c458913357fa4632f56b693a4f1b93b1e6fd5f47b9f4355a8aa26710c856a0,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,aaad28e43935a40313585d77a33bfc788d97e8d69b081f9486af74d52ca1a857,,,,missing,,,,,,,,,,,,,,,,,
2026-09-08__google__gemini-3.1-pro__extthinkon__direct__r03,primary,true,google__gemini-3.1-pro__extthinkon,,Gemini 3.1 Pro — extended thinking ON,,google,gemini-3.1-pro,extthinkon,,,direct,r03,usable,true,true,,7127af1fee812f8f7346b639cde676788c65cba2a208632d4367ea30a49e1abe,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,,2026-09-08,not exposed,,usable,true,true,true,1930,1482,0.790823,0.887314,0.209177,1172,0,310,68,0,34,34,0,0
2026-09-08__google__gemini-3.1-pro__extthinkon__primed__r03,primary,true,google__gemini-3.1-pro__extthinkon,,Gemini 3.1 Pro — extended thinking ON,,google,gemini-3.1-pro,extthinkon,,,primed,r03,missing,false,false,"not collected — pristine prompt file, no reply appended; never fabricated",22c458913357fa4632f56b693a4f1b93b1e6fd5f47b9f4355a8aa26710c856a0,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,aaad28e43935a40313585d77a33bfc788d97e8d69b081f9486af74d52ca1a857,,,,missing,,,,,,,,,,,,,,,,,
2026-09-08__deepseek__deepseek-v3-instant__deepthinkoff__direct__r01,primary,true,deepseek__deepseek-v3-instant__deepthinkoff,,DeepSeek V3 Instant — DeepThink OFF,,deepseek,deepseek-v3-instant,deepthinkoff,,,direct,r01,usable,true,true,,deb6c7a8005fe1f42ce359fb617e1a3383f862801702313973cbf6ca78057477,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,,2026-09-08,not exposed,,usable,true,true,true,1906,1458,0.743484,0.825789,0.256516,1083,1,374,106,0,78,28,0,0
2026-09-08__deepseek__deepseek-v3-instant__deepthinkoff__primed__r01,primary,true,deepseek__deepseek-v3-instant__deepthinkoff,,DeepSeek V3 Instant — DeepThink OFF,,deepseek,deepseek-v3-instant,deepthinkoff,,,primed,r01,usable,true,true,,b22c70fb4acd74964051fedf9a31b3c848f21d145d1a34467a760b82f16fdccf,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,aaad28e43935a40313585d77a33bfc788d97e8d69b081f9486af74d52ca1a857,2026-09-08,not exposed,,usable,true,true,true,1910,1462,0.815321,0.886457,0.184679,1192,0,270,2,0,1,1,0,0
2026-09-08__deepseek__deepseek-v3-instant__deepthinkoff__direct__r02,primary,true,deepseek__deepseek-v3-instant__deepthinkoff,,DeepSeek V3 Instant — DeepThink OFF,,deepseek,deepseek-v3-instant,deepthinkoff,,,direct,r02,usable,true,true,,deb6c7a8005fe1f42ce359fb617e1a3383f862801702313973cbf6ca78057477,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,,2026-09-08,not exposed,,usable,true,true,true,1906,1458,0.765432,0.859396,0.234568,1116,0,342,95,0,52,43,0,0
2026-09-08__deepseek__deepseek-v3-instant__deepthinkoff__primed__r02,primary,true,deepseek__deepseek-v3-instant__deepthinkoff,,DeepSeek V3 Instant — DeepThink OFF,,deepseek,deepseek-v3-instant,deepthinkoff,,,primed,r02,usable,true,true,,b22c70fb4acd74964051fedf9a31b3c848f21d145d1a34467a760b82f16fdccf,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,aaad28e43935a40313585d77a33bfc788d97e8d69b081f9486af74d52ca1a857,2026-09-08,not exposed,,usable,true,true,true,1927,1479,0.833671,0.891143,0.166329,1233,0,246,0,0,0,0,0,0
2026-09-08__deepseek__deepseek-v3-instant__deepthinkoff__direct__r03,primary,true,deepseek__deepseek-v3-instant__deepthinkoff,,DeepSeek V3 Instant — DeepThink OFF,,deepseek,deepseek-v3-instant,deepthinkoff,,,direct,r03,usable,true,true,,deb6c7a8005fe1f42ce359fb617e1a3383f862801702313973cbf6ca78057477,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,,2026-09-08,not exposed,,usable,true,true,true,1910,1461,0.748802,0.861054,0.251198,1091,3,367,93,17,36,40,0,0
2026-09-08__deepseek__deepseek-v3-instant__deepthinkoff__primed__r03,primary,true,deepseek__deepseek-v3-instant__deepthinkoff,,DeepSeek V3 Instant — DeepThink OFF,,deepseek,deepseek-v3-instant,deepthinkoff,,,primed,r03,usable,true,true,,b22c70fb4acd74964051fedf9a31b3c848f21d145d1a34467a760b82f16fdccf,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,aaad28e43935a40313585d77a33bfc788d97e8d69b081f9486af74d52ca1a857,2026-09-08,not exposed,,usable,true,true,true,1929,1480,0.815541,0.881757,0.184459,1207,0,273,41,0,35,6,0,0
2026-09-08__deepseek__deepseek-v3-instant__deepthinkon__direct__r01,primary,true,deepseek__deepseek-v3-instant__deepthinkon,,DeepSeek V3 Instant — DeepThink ON,,deepseek,deepseek-v3-instant,deepthinkon,,,direct,r01,usable,true,true,,90f3411a14404bb4c8371c2a849bb448ce2259bcacda9439ff3b121848ffc41b,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,,2026-09-08,not exposed,,usable,true,true,true,1906,1452,0.739669,0.84573,0.260331,1072,2,378,71,0,35,36,0,0
2026-09-08__deepseek__deepseek-v3-instant__deepthinkon__primed__r01,primary,true,deepseek__deepseek-v3-instant__deepthinkon,,DeepSeek V3 Instant — DeepThink ON,,deepseek,deepseek-v3-instant,deepthinkon,,,primed,r01,usable,true,true,,aa08b5036efeffc3356d02d94c9a0f3b618489dcaec2e288aa37580ab4ab922a,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,aaad28e43935a40313585d77a33bfc788d97e8d69b081f9486af74d52ca1a857,2026-09-08,not exposed,,usable,true,true,true,1935,1487,0.811701,0.870208,0.188299,1207,0,280,64,0,35,29,0,0
2026-09-08__deepseek__deepseek-v3-instant__deepthinkon__direct__r02,primary,true,deepseek__deepseek-v3-instant__deepthinkon,,DeepSeek V3 Instant — DeepThink ON,,deepseek,deepseek-v3-instant,deepthinkon,,,direct,r02,usable,true,true,,90f3411a14404bb4c8371c2a849bb448ce2259bcacda9439ff3b121848ffc41b,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,,2026-09-08,not exposed,,usable,true,true,true,1912,1464,0.754098,0.830601,0.245902,1102,2,360,21,0,16,5,0,0
2026-09-08__deepseek__deepseek-v3-instant__deepthinkon__primed__r02,primary,true,deepseek__deepseek-v3-instant__deepthinkon,,DeepSeek V3 Instant — DeepThink ON,,deepseek,deepseek-v3-instant,deepthinkon,,,primed,r02,partial,false,false,intake partial: final non-empty line is not KONIEC/KONEC/KONĖC (markdown-wrapped end marker); evaluated but excluded from statistics per the unchanged gate,aa08b5036efeffc3356d02d94c9a0f3b618489dcaec2e288aa37580ab4ab922a,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,aaad28e43935a40313585d77a33bfc788d97e8d69b081f9486af74d52ca1a857,2026-09-08,not exposed,,partial,false,true,true,1987,1495,0.822742,0.883612,0.177258,1230,0,265,57,0,11,2,0,44
2026-09-08__deepseek__deepseek-v3-instant__deepthinkon__direct__r03,primary,true,deepseek__deepseek-v3-instant__deepthinkon,,DeepSeek V3 Instant — DeepThink ON,,deepseek,deepseek-v3-instant,deepthinkon,,,direct,r03,usable,true,true,,90f3411a14404bb4c8371c2a849bb448ce2259bcacda9439ff3b121848ffc41b,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,,2026-09-08,not exposed,,usable,true,true,true,1908,1460,0.74863,0.842466,0.25137,1092,1,367,93,4,44,45,0,0
2026-09-08__deepseek__deepseek-v3-instant__deepthinkon__primed__r03,primary,true,deepseek__deepseek-v3-instant__deepthinkon,,DeepSeek V3 Instant — DeepThink ON,,deepseek,deepseek-v3-instant,deepthinkon,,,primed,r03,usable,true,true,,aa08b5036efeffc3356d02d94c9a0f3b618489dcaec2e288aa37580ab4ab922a,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,aaad28e43935a40313585d77a33bfc788d97e8d69b081f9486af74d52ca1a857,2026-09-08,not exposed,,usable,true,true,true,1970,1482,0.81444,0.87247,0.18556,1207,0,275,43,0,1,2,0,40
2026-09-08__xai__grok__unknown__direct__r01,primary,true,xai__grok__unknown,xai__grok__fast,Grok 4.5 Fast,Grok 4.5 Fast,xai,grok,unknown,operator_reported,"Grok 4.5, built by xAI (fast)",direct,r01,usable,true,true,,235cf2707520e7794f62c11bfa287e8b573e9998b8dd9fe711a4c57503425fd5,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,,2026-09-08,"web interface; model identity 'Grok 4.5, built by xAI (fast)' per operator header (edited from 'unknown'); operator-reported",grok-identity-header-edit,usable,true,true,true,1915,1467,0.798228,0.888889,0.201772,1171,0,296,73,0,34,39,0,0
2026-09-08__xai__grok__unknown__primed__r01,primary,true,xai__grok__unknown,xai__grok__fast,Grok 4.5 Fast,Grok 4.5 Fast,xai,grok,unknown,operator_reported,"Grok 4.5, built by xAI (fast)",primed,r01,usable,true,true,,2a1f4121b83d78a9f875df7444f3e5738b5657991feceda2994ddeb61d5aafea,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,aaad28e43935a40313585d77a33bfc788d97e8d69b081f9486af74d52ca1a857,2026-09-08,"web interface; model identity 'Grok 4.5, built by xAI (fast)' per operator header (edited from 'unknown'); operator-reported",grok-identity-header-edit,usable,true,true,true,1921,1473,0.844535,0.898167,0.155465,1244,0,229,2,0,1,1,0,0
2026-09-08__xai__grok__unknown__direct__r02,primary,true,xai__grok__unknown,xai__grok__fast,Grok 4.5 Fast,Grok 4.5 Fast,xai,grok,unknown,operator_reported,"Grok 4.5, built by xAI (fast)",direct,r02,usable,true,true,,235cf2707520e7794f62c11bfa287e8b573e9998b8dd9fe711a4c57503425fd5,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,,2026-09-08,"web interface; model identity 'Grok 4.5, built by xAI (fast)' per operator header (edited from 'unknown'); operator-reported",grok-identity-header-edit,usable,true,true,true,1920,1472,0.810462,0.88587,0.189538,1193,0,279,1,0,0,1,0,0
2026-09-08__xai__grok__unknown__primed__r02,primary,true,xai__grok__unknown,xai__grok__fast,Grok 4.5 Fast,Grok 4.5 Fast,xai,grok,unknown,operator_reported,"Grok 4.5, built by xAI (fast)",primed,r02,usable,true,true,,2a1f4121b83d78a9f875df7444f3e5738b5657991feceda2994ddeb61d5aafea,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,aaad28e43935a40313585d77a33bfc788d97e8d69b081f9486af74d52ca1a857,2026-09-08,"web interface; model identity 'Grok 4.5, built by xAI (fast)' per operator header (edited from 'unknown'); operator-reported",grok-identity-header-edit,usable,true,true,true,1917,1469,0.842069,0.893805,0.157931,1237,0,232,1,0,1,0,0,0
